#{"t_start": 1674319025.7187526, "env_id": null}
r,l,t
-39.240787,2,5.01256
-37.603239,13,5.016564
-38.406294,5,5.018566
-33.71238,15,5.023571
-39.8,1,5.023571
-36.123501,45,5.037583
-31.278221,19,5.042588
-36.645826,13,5.046591
-37.986308,6,5.048593
-39.396624,2,5.049594
-37.616935,27,5.057601
-39.406613,3,5.058602
-38.118406,14,5.062606
-39.815341,8,5.065609
-33.600012,45,5.078621
-39.402887,3,5.079621
-37.138073,17,5.085627
-39.4,3,5.086628
-39.417813,3,5.087628
-34.810243,21,5.093634
-36.154066,10,5.096637
-37.586126,8,5.09964
-39.458602,4,5.10064
-37.995609,11,5.103643
-34.284012,19,5.109649
-37.992218,7,5.11165
-38.497398,51,5.127665
-39.8,1,5.127665
-38.637742,9,5.130668
-34.929499,23,5.137674
-39.552104,6,5.139676
-37.138489,22,5.146683
-39.8,1,5.146683
-37.801109,7,5.148684
-38.893189,7,5.151687
-36.528312,29,5.159694
-36.122305,16,5.164699
-39.8,1,5.1657
-28.967251,37,5.17671
-35.060714,13,5.180713
-36.012198,22,5.186719
-39.404264,3,5.18772
-22.482207,65,5.207738
-36.273173,19,5.213743
-38.181547,6,5.215745
-39.637395,5,5.216746
-35.881964,21,5.223753
-34.392612,18,5.228757
-39.158095,5,5.230759
-39.417138,3,5.23176
-39.763141,5,5.232761
-38.378731,19,5.238766
-38.47144,5,5.240768
-39.4,3,5.241769
-38.839523,8,5.243771
-38.506336,6,5.245773
-36.72725,21,5.252779
-39.999528,2,5.252779
-39.048662,4,5.254781
-33.182652,19,5.259785
-39.409567,3,5.260786
-38.304798,10,5.26479
-39.484134,7,5.266792
-39.562878,5,5.267792
-39.417353,3,5.268794
-32.301362,34,5.279804
-38.402816,7,5.281805
-39.90214,2,5.282806
-39.260802,10,5.285809
-38.456727,5,5.28681
-39.419354,3,5.287811
-39.419568,3,5.288812
-39.411809,3,5.289813
-39.531609,9,5.345864
-39.8,1,5.345864
-38.923026,10,5.348866
-38.192254,8,5.351869
-26.513554,39,5.36388
-40.019358,2,5.36388
-39.712071,9,5.366883
-38.913809,4,5.367884
-39.412666,3,5.368885
-38.391925,12,5.372888
-39.865753,2,5.373889
-37.475022,35,5.383898
-27.828747,52,6.075527
-36.152255,22,6.083534
-27.874027,51,6.103552
-29.919715,70,6.129576
-34.378244,19,6.136583
-32.783007,20,6.14459
-34.61601,20,6.152597
-38.284793,20,6.159603
-24.300303,70,6.185628
-38.197323,14,6.191633
-32.313755,34,6.203644
-31.053044,38,6.217656
-29.911695,56,6.238675
-37.216296,17,6.244681
-29.606549,34,6.256692
-39.563819,5,6.258693
-37.368867,10,6.262697
-31.744424,40,6.274709
-39.8,1,6.274709
-35.504974,45,6.288722
-38.493799,5,6.289722
-27.120078,43,6.302734
-37.582458,8,6.305737
-30.522177,75,6.327757
-39.184799,12,6.331761
-39.388394,4,6.332761
-39.590238,5,6.334764
-35.160016,41,6.346774
-39.4,3,6.347775
-39.584086,5,6.349777
-39.348733,2,6.350778
-36.570634,35,6.389813
-38.832323,4,6.391815
-36.743981,13,6.395819
-40.049531,18,6.400823
-39.419942,3,6.401824
-38.739716,5,6.403826
-30.347423,54,6.419841
-37.152713,12,6.423844
-38.914603,8,6.425846
-39.982063,2,6.426847
-37.78038,16,6.431852
-39.765685,2,6.432853
-39.247336,8,6.434855
-36.579174,10,6.437857
-36.777562,17,6.442862
-39.402408,3,6.443863
-39.088074,19,6.449868
-35.302621,16,6.454872
-38.032745,15,6.459877
-36.849477,27,6.467885
-38.465444,5,6.468885
-37.560109,15,6.47389
-34.137886,43,6.486902
-40.187857,30,6.49591
-26.66341,79,6.519932
-36.509981,15,6.523935
-34.840593,21,6.530942
4.125197,17,6.535946
-32.474682,46,6.549959
-31.951849,56,6.566975
-39.183104,7,6.568977
-25.674221,68,6.589996
-35.577566,52,6.60601
-38.415148,11,6.609013
-32.550748,33,6.619022
-38.469566,22,6.626028
-32.616988,54,6.643044
-35.184205,44,6.656056
-39.050645,22,6.663062
-37.47872,24,6.670068
-35.958472,17,6.675073
-33.133382,20,6.681078
-38.058248,20,6.688085
-37.768057,34,6.726119
-34.155495,36,6.737129
-40.044964,9,6.740132
-37.478813,21,6.747139
-40.275456,15,6.751142
-21.316137,77,6.774163
-37.664021,10,6.777166
-35.343288,48,7.433763
-28.605888,43,7.449778
-37.259111,28,7.460788
-38.305144,35,7.472799
-28.171246,44,7.488813
-37.866436,13,7.494819
-39.242632,6,7.496821
-35.878959,32,7.508831
-39.065927,21,7.517839
-39.887673,7,7.519842
-39.356293,5,7.522844
-38.293558,16,7.527848
-30.697787,53,7.547867
-37.40858,37,7.560878
-6.413286,147,7.610924
-36.098805,10,7.614928
-25.279379,109,7.648959
-35.177865,28,7.657967
-35.471406,88,7.683991
-35.441489,13,7.687994
-30.404183,60,7.757057
-31.157748,53,7.773072
-40.649373,38,7.785083
-33.829763,40,7.797094
-39.056231,9,7.800097
-34.50527,19,7.805101
-39.537508,4,7.807103
-22.671871,121,7.843136
-36.701104,27,7.851143
-33.030485,38,7.863154
-18.230816,151,7.908195
-41.946049,92,7.93622
